Date,ss2,ss3,ss5,ss7,ss10,ss20,ss30,s1,s2,s3,s5,s7,s10,s20,s30,ust1m,ust2m,ust3m,ust6m,ust1y,ust2y,ust3y,ust5y,ust7y,ust10y,ust20y,ust30y,inf1y,inf2y,inf3y,inf5y,inf7y,inf10y,inf20y,inf30y,be5,be10,be20,be30,ry5,ry10,ry30
4/28/2020,14.77538,9.01275,5.81028,-0.49679,1.03046,-15.28432,-43.36423,0.42253,0.35597,0.3547,0.426,0.51572,0.61929,0.75486,0.77277,0.08643,0.09151,0.10169,0.13225,0.16248,0.20822,0.26457,0.3679,0.52069,0.60899,1.02256,1.20641,-0.98995,-0.02997,0.37762,0.8266,1.07571,1.33556,1.57121,1.63233,78.19357,114.2,125.84758,147,-0.4140357,-0.53301,-0.26359
4/29/2020,13.83057,9.2257,5.60033,-0.38214,1.17851,-14.53087,-43.14211,0.40378,0.33567,0.33701,0.41761,0.52079,0.6371,0.7882,0.81027,0.09151,0.09151,0.10678,0.12207,0.16248,0.19744,0.2447,0.36159,0.52447,0.6253,1.03964,1.24169,-0.94999,0.01039,0.42004,0.85516,1.10224,1.34867,1.5958,1.65245,78.5,113.5,124.60478,146.5,-0.42341,-0.5097,-0.22331
4/30/2020,13.08573,8.68877,5.50831,-0.49404,1.1292,-15.74783,-45.7485,0.3628,0.31663,0.3223,0.39947,0.51046,0.63568,0.78961,0.81239,0.10931,0.10428,0.12458,0.11444,0.16757,0.18577,0.2354,0.34423,0.51537,0.62428,1.05417,1.26987,-0.96638,-0.02134,0.39669,0.81794,1.06698,1.31767,1.56351,1.61176,71.7,107.5,116.38951,140.2,-0.37277,-0.45072,-0.13213
5/1/2020,12.97329,7.98795,4.58309,-1.24044,0.29201,-15.85331,-45.61005,0.36898,0.33052,0.33654,0.41387,0.51954,0.64243,0.79978,0.82108,0.10168,0.0966,0.11695,0.12207,0.16248,0.20079,0.25665,0.36788,0.53192,0.6394,1.05924,1.27717,-0.98004,-0.04003,0.36737,0.78355,1.03547,1.29119,1.54427,1.5972,69.2,106,115.90757,139.6,-0.32412,-0.4206,-0.11883
5/4/2020,12.92653,8.20522,4.08484,-1.63835,-0.58341,-16.35556,-46.90469,0.34464,0.30945,0.31746,0.39766,0.50586,0.63028,0.80253,0.82706,0.10168,0.0966,0.11187,0.13734,0.15739,0.18018,0.23535,0.3568,0.52223,0.63601,1.06766,1.2961,-0.93504,-0.0025,0.39772,0.80363,1.05124,1.31391,1.55162,1.61568,70.4,108,118.03315,141.7,-0.3472,-0.44399,-0.1209
5/5/2020,12.84551,8.25586,4.34282,-1.16306,-0.51626,-16.00841,-47.0058,0.35,0.31366,0.32596,0.4113,0.52375,0.6512,0.83266,0.85903,0.09151,0.11185,0.11186,0.14243,0.15993,0.1852,0.24333,0.36787,0.53538,0.65636,1.08779,1.32909,-0.86753,0.04745,0.4305,0.81925,1.06138,1.31664,1.56128,1.63627,72.4,109.4,120.7224,145,-0.35613,-0.43764,-0.12091
5/6/2020,11.58505,6.34192,2.8194,-4.16025,-3.71491,-18.29431,-50.11241,0.32478,0.29339,0.30792,0.40374,0.53007,0.67414,0.87892,0.91153,0.09151,0.10168,0.11695,0.14752,0.15739,0.18034,0.24599,0.37579,0.57202,0.71098,1.15856,1.41266,-0.93582,0.00172,0.3955,0.79985,1.0429,1.30011,1.53831,1.62014,72.3,110,120.57697,145.6,-0.34721,-0.38902,-0.04334
5/7/2020,11.42824,6.05525,3.24407,-3.38521,-3.37687,-17.93645,-49.45619,0.2939,0.24002,0.24176,0.32552,0.45119,0.59666,0.79606,0.82567,0.08642,0.11185,0.10169,0.13734,0.13197,0.12698,0.18196,0.29353,0.48518,0.63059,1.05595,1.32027,-0.87614,0.01276,0.38605,0.78652,1.02352,1.27387,1.49745,1.57953,71.3,108.1,118.06436,142.9,-0.41947,-0.45041,-0.10873
5/8/2020,10.04164,4.39329,1.96496,-4.46261,-4.0177,-17.75917,-49.88134,0.30443,0.24826,0.24976,0.34311,0.48051,0.6397,0.85348,0.88343,0.09151,0.11185,0.11186,0.14243,0.14722,0.14784,0.20583,0.32346,0.52514,0.67988,1.11546,1.38224,-0.75825,0.10042,0.44998,0.8275,1.06128,1.30749,1.54012,1.61864,74.38325,111.50226,121.49756,147,-0.4203725,-0.4351426,-0.08776
5/11/2020,8.00364,2.81811,0.43269,-6.04823,-5.90903,-19.49765,-52.01223,0.31233,0.25976,0.26575,0.36265,0.50249,0.66603,0.88922,0.92316,0.09151,0.10168,0.12204,0.15771,0.15739,0.17972,0.23757,0.35832,0.56297,0.72512,1.17042,1.44328,-0.75995,0.11524,0.47139,0.85789,1.08811,1.32997,1.56479,1.64365,75.3,112.5,122.51151,148.5,-0.39468,-0.39988,-0.04172
5/12/2020,9.03995,4.34801,1.61508,-4.5071,-5.13001,-17.75259,-49.37679,0.32524,0.26222,0.26128,0.35065,0.48124,0.63736,0.85759,0.88779,0.10676,0.10168,0.12712,0.15262,0.1523,0.17182,0.2178,0.3345,0.52631,0.68866,1.10907,1.38156,-0.7097,0.12003,0.4588,0.83644,1.06009,1.2935,1.5218,1.59616,73.4,109,118.19122,144,-0.3995,-0.40134,-0.05844
5/13/2020,10.81176,6.17093,2.93353,-2.96902,-3.59427,-17.49455,-49.81949,0.32465,0.26803,0.2638,0.34637,0.46688,0.6133,0.82539,0.85324,0.09659,0.0966,0.11695,0.15262,0.14722,0.15991,0.20209,0.31703,0.49657,0.64924,1.06811,1.35143,-0.73998,0.10042,0.44692,0.82126,1.04257,1.27331,1.50426,1.57461,72.1,107.2,116.48479,142.1,-0.40397,-0.42276,-0.06957
5/14/2020,10.59701,6.3197,2.81712,-3.01442,-3.09115,-16.79503,-48.11298,0.30708,0.25394,0.25221,0.32773,0.44358,0.58683,0.78861,0.81425,0.09659,0.08643,0.12713,0.14752,0.14722,0.14797,0.18901,0.29956,0.47372,0.61774,1.02043,1.29538,-0.69002,0.12746,0.46015,0.82489,1.03602,1.25909,1.47654,1.54497,72.5,105.9,114.77089,140.60359,-0.42544,-0.44126,-0.1106559
5/15/2020,10.16625,6.67703,3.66661,-1.74723,-2.1671,-15.85175,-47.14001,0.29697,0.24972,0.25333,0.34404,0.46765,0.61707,0.82017,0.84722,0.09151,0.10168,0.11695,0.14752,0.14467,0.14806,0.18656,0.30737,0.48512,0.63874,1.04936,1.31862,-0.62011,0.18,0.50728,0.86093,1.06845,1.29358,1.50483,1.57289,75.6,109.1,118.35844,143.51595,-0.44863,-0.45226,-0.1165395
5/18/2020,9.45193,5.74799,3.3555,-1.80398,-1.88488,-15.06514,-47.25357,0.31448,0.27679,0.29402,0.40934,0.55201,0.72157,0.94709,0.98251,0.09659,0.09151,0.11695,0.15262,0.15738,0.18227,0.23654,0.37579,0.57005,0.74042,1.1773,1.45505,-0.46459,0.27996,0.60028,0.9477,1.1481,1.36366,1.57352,1.64178,84.62025,117,125.43718,151.37328,-0.4704125,-0.42958,-0.0586828
5/19/2020,8.78667,5.71989,3.50322,-1.87269,-2.12337,-14.93665,-47.62441,0.29824,0.26015,0.27542,0.38212,0.52143,0.689,0.92335,0.95896,0.10168,0.09151,0.12204,0.15262,0.15994,0.17228,0.21822,0.34709,0.54016,0.71023,1.1567,1.4352,-0.3725,0.3073,0.60715,0.93,1.12893,1.34765,1.55235,1.62733,82.5,115,123.96218,149.76088,-0.47791,-0.43977,-0.0624088
5/20/2020,8.86919,5.51784,3.25656,-1.8253,-1.62168,-28.59828,-47.12381,0.28812,0.24894,0.26296,0.36212,0.4978,0.66147,0.89255,0.92653,0.09659,0.10168,0.11695,0.14243,0.15486,0.16025,0.20778,0.32955,0.51605,0.67769,1.17846,1.39777,-0.29768,0.3684,0.65194,0.95712,1.1513,1.36822,1.56649,1.64234,83.7,115.7,124.09538,150.24067,-0.50745,-0.47931,-0.1046367
5/21/2020,9.13233,6.18752,3.24006,-1.46713,-1.13003,-26.56511,-46.25181,0.29493,0.25768,0.27237,0.3699,0.50255,0.66397,0.89849,0.93461,0.09659,0.10168,0.11695,0.14243,0.15994,0.16636,0.21049,0.33749,0.51721,0.67526,1.1641,1.39713,-0.17506,0.43227,0.68721,0.95811,1.14082,1.35305,1.54568,1.62279,81.5,112.8,120.64989,147.48062,-0.47751,-0.45274,-0.0776762
5/22/2020,9.43095,6.68053,3.87131,-0.62765,-0.25187,-24.03097,-44.75067,0.30281,0.2609,0.27233,0.37134,0.49947,0.65573,0.88687,0.92329,0.09659,0.10677,0.12712,0.14752,0.15994,0.16659,0.20551,0.33262,0.50574,0.65824,1.12718,1.3708,-0.18991,0.42255,0.67794,0.95197,1.13005,1.34103,1.52779,1.60693,80.6,111.1,119.31344,145.82002,-0.47338,-0.45276,-0.0874002
5/26/2020,9.17759,5.87187,3.23842,-1.18831,-0.75586,-25.50305,-45.37712,0.3104,0.26928,0.28019,0.38257,0.52147,0.68977,0.94145,0.98482,0.12202,0.11694,0.1373,0.1628,0.16757,0.17743,0.22147,0.35018,0.53335,0.69733,1.19644,1.43859,-0.07025,0.47992,0.71438,0.98176,1.15877,1.36891,1.54932,1.62444,82.7,113,120.35726,146.75008,-0.47682,-0.43267,-0.0289108
5/27/2020,8.62397,6.26036,4.29953,-0.77699,-0.97494,-26.74698,-46.86595,0.30318,0.26711,0.28151,0.37937,0.50717,0.66559,0.9188,0.96301,0.11693,0.12202,0.16274,0.16789,0.18028,0.18079,0.2189,0.33632,0.51494,0.67534,1.18624,1.43167,-0.07247,0.49503,0.72856,0.99813,1.17449,1.37762,1.56106,1.63565,83.3,113.5,119.86714,147.37933,-0.49668,-0.45966,-0.0421233
5/28/2020,9.05083,6.12615,4.5576,-1.75371,-0.97085,-27.52483,-47.36444,0.29619,0.26549,0.2829,0.39106,0.5267,0.69419,0.95243,1.00087,0.13219,0.13728,0.16782,0.16789,0.17265,0.17491,0.22164,0.34543,0.54422,0.7039,1.22765,1.47451,0.0112,0.55886,0.78976,1.05893,1.22749,1.42366,1.60073,1.67398,86.88582,118,123.86724,152.11867,-0.5234282,-0.4761,-0.0466767
5/29/2020,9.62796,7.52702,5.56252,-0.9952,-0.3434,-28.10861,-47.36364,0.29074,0.25158,0.26266,0.35529,0.4821,0.64023,0.88792,0.92949,0.13727,0.13982,0.15765,0.16789,0.17265,0.15537,0.18736,0.29965,0.49204,0.64366,1.169,1.40312,0.08497,0.57011,0.78653,1.03151,1.19733,1.39292,1.57555,1.6432,83.11999,114.3,122.3628,148.77009,-0.5315499,-0.49934,-0.0845809
6/1/2020,9.04894,6.67726,5.37898,-0.99715,-0.62299,-28.93646,-48.37427,0.28564,0.24782,0.2595,0.35505,0.48889,0.65533,0.92182,0.97085,0.12202,0.1322,0.15256,0.16789,0.16248,0.15738,0.19273,0.30126,0.49886,0.66156,1.21118,1.45459,0.13496,0.60004,0.81199,1.05635,1.23113,1.43351,1.61517,1.67473,85.04404,117.72023,123.90734,151.9294,-0.5491804,-0.5156423,-0.064704
6/2/2020,8.1912,5.36605,4.49622,-1.67271,-1.00191,-29.56349,-49.00069,0.28578,0.24916,0.26243,0.36364,0.50036,0.66948,0.93655,0.9886,0.11693,0.1322,0.15256,0.16789,0.16248,0.16725,0.20877,0.31868,0.51709,0.6795,1.23218,1.47861,0.2202,0.62733,0.81556,1.06016,1.22843,1.42241,1.60495,1.66825,85.34663,117,123.33353,150.2,-0.5347863,-0.4905,-0.02339
6/3/2020,7.16331,4.26187,3.77436,-2.09253,-0.98766,-29.19355,-48.24549,0.29935,0.27046,0.29148,0.41352,0.56705,0.74993,1.01875,1.06783,0.12201,0.1322,0.15256,0.17807,0.17265,0.19883,0.24886,0.37578,0.58798,0.75981,1.31069,1.55028,0.31752,0.68998,0.86333,1.09647,1.26441,1.45905,1.63325,1.69347,88.43465,120.3,126.68395,152.6,-0.5085665,-0.44319,0.02428
6/4/2020,8.11809,4.92875,3.9273,-2.09732,-0.50518,-29.06522,-47.25191,0.29779,0.27419,0.30093,0.44214,0.61472,0.8134,1.09933,1.15196,0.11693,0.14237,0.14747,0.17298,0.16502,0.19301,0.25164,0.40287,0.63569,0.81845,1.38998,1.62448,0.44529,0.76262,0.92333,1.13805,1.30584,1.49695,1.66925,1.72495,88.69476,121.2,127.56809,153.99928,-0.4840776,-0.39355,0.0844872
6/5/2020,8.53462,5.60038,4.22474,-2.55814,-1.88785,-30.85676,-48.62975,0.30396,0.30044,0.34821,0.51801,0.69173,0.88545,1.14658,1.19061,0.12201,0.14236,0.15764,0.17807,0.17773,0.21509,0.29221,0.47576,0.71731,0.90433,1.45515,1.67691,0.59989,0.8674,1.01296,1.21603,1.37105,1.54437,1.70857,1.7607,96.85588,125.7,131.55213,156.7,-0.4927988,-0.35267,0.10991
6/8/2020,7.34563,4.57188,4.24088,-2.38155,-1.62964,-29.93994,-48.00171,0.31252,0.30257,0.33897,0.4943,0.66925,0.86639,1.13105,1.17716,0.13218,0.15254,0.16782,0.18826,0.18282,0.22911,0.29325,0.45189,0.69307,0.88269,1.43045,1.65718,0.62498,0.88743,1.03224,1.24235,1.39251,1.56996,1.72948,1.77814,98.94311,127.6,131.51753,156.2,-0.5375411,-0.39331,0.09518
6/9/2020,8.90753,5.92496,4.62439,-2.35044,-1.50031,-29.25016,-47.00011,0.3137,0.29448,0.32102,0.45192,0.6211,0.81283,1.07045,1.11335,0.1627,0.15763,0.16782,0.18826,0.18281,0.2054,0.26177,0.40568,0.6446,0.82783,1.36295,1.58335,0.76996,0.96501,1.06786,1.23388,1.36792,1.52993,1.68219,1.73022,99.47227,125,128.39083,152.9,-0.5890427,-0.42217,0.05435
6/10/2020,8.76479,6.44094,5.88341,-0.72397,-0.49574,-28.62277,-45.87344,0.29466,0.26531,0.27782,0.3945,0.55571,0.74192,1.01189,1.06007,0.15761,0.15762,0.17291,0.18317,0.17773,0.17766,0.21341,0.33567,0.56295,0.74688,1.29812,1.5188,0.87999,1.01995,1.11024,1.251,1.38074,1.54228,1.6918,1.73735,102.12012,127,129.85437,154,-0.6855312,-0.52312,-0.0212
6/11/2020,7.7349,5.00673,5.21807,-0.92288,-0.76613,-29.13337,-47.5058,0.28775,0.25508,0.25956,0.35372,0.48506,0.6442,0.88747,0.92655,0.14236,0.14745,0.16782,0.17807,0.18281,0.17773,0.20949,0.30154,0.49429,0.65186,1.1788,1.40161,0.85753,0.9879,1.0758,1.21067,1.33712,1.49982,1.6448,1.69536,95.8,121.5,125.82928,149.3,-0.65646,-0.56314,-0.09139
6/12/2020,7.58582,5.27808,4.83323,-1.54764,-0.98952,-30.36955,-48.24621,0.3014,0.26581,0.27272,0.37383,0.51772,0.68779,0.92774,0.96435,0.15252,0.15254,0.16273,0.18316,0.17264,0.18995,0.21994,0.3255,0.5332,0.69769,1.23144,1.44681,0.88499,1.00012,1.08309,1.21463,1.32657,1.48266,1.63146,1.68285,97,120.5,125.80174,148.3,-0.6445,-0.50731,-0.03619
6/15/2020,6.90542,4.8599,4.64037,-1.48899,-1.11723,-30.49596,-48.74719,0.29036,0.25709,0.2686,0.37196,0.51834,0.68983,0.9256,0.96068,0.14235,0.15254,0.16782,0.18826,0.17518,0.18804,0.21991,0.32554,0.53322,0.70099,1.23055,1.44815,0.94231,1.02488,1.10519,1.23735,1.34368,1.49619,1.63314,1.68397,99.1,122,126.05857,148.9,-0.66546,-0.51901,-0.04085
6/16/2020,6.81377,4.73464,4.87361,-1.4385,-1.5007,-31.12537,-49.25026,0.30159,0.27029,0.28302,0.39825,0.55389,0.73867,0.99927,1.04408,0.15253,0.1322,0.17291,0.18317,0.20064,0.20217,0.23559,0.34951,0.56769,0.75367,1.31052,1.53658,1.03787,1.09034,1.16232,1.28979,1.3938,1.53995,1.68245,1.73368,104.1,126.5,130.35387,154,-0.69149,-0.51133,-0.00342
6/17/2020,6.44673,4.43812,3.71133,-2.58769,-2.76957,-31.8852,-50.7571,0.29417,0.26068,0.26953,0.3757,0.52349,0.70474,0.96767,1.01478,0.14236,0.1322,0.16783,0.17298,0.18792,0.19625,0.22509,0.33839,0.54932,0.73227,1.28647,1.52233,1.07242,1.09747,1.15476,1.26811,1.37225,1.51963,1.65817,1.70865,101.8,125.00162,129.84737,152.5,-0.67961,-0.5177462,-0.00267
6/18/2020,6.34695,4.67016,3.4842,-2.45132,-2.50799,-30.85415,-50.25288,0.28898,0.25781,0.26653,0.3605,0.49727,0.66776,0.91623,0.95764,0.13727,0.1322,0.15256,0.16789,0.18029,0.19434,0.21983,0.32566,0.52178,0.69284,1.22477,1.46017,1.18499,1.17498,1.20748,1.30745,1.40213,1.53906,1.66258,1.71392,104.59538,126.3,130.64324,152.9,-0.7202938,-0.57016,-0.06883
6/19/2020,6.78693,4.69453,3.72834,-2.46551,-2.13596,-30.1557,-49.75396,0.28611,0.25442,0.26406,0.36309,0.50232,0.67647,0.92908,0.97168,0.13727,0.12711,0.15256,0.17298,0.17265,0.18655,0.21711,0.32579,0.52697,0.69782,1.23063,1.46922,1.22257,1.19038,1.2226,1.31703,1.41511,1.55105,1.665,1.71805,107.7,129,132.34482,154.7,-0.75121,-0.59218,-0.07778
6/22/2020,6.05035,4.03768,3.74251,-2.29537,-1.50379,-29.56447,-49.25137,0.28214,0.2512,0.26275,0.37128,0.51267,0.68775,0.93098,0.96905,0.13218,0.12711,0.15256,0.17807,0.17011,0.19069,0.22235,0.33383,0.53561,0.70277,1.22661,1.46156,1.29978,1.24373,1.27128,1.36324,1.45914,1.59319,1.704,1.75515,111.8,132.7,135.2747,157.9,-0.78417,-0.62423,-0.11744
6/23/2020,5.66711,4.55411,4.10821,-1.82454,-1.3835,-29.06693,-48.87808,0.28108,0.25017,0.25998,0.36539,0.51283,0.69394,0.95619,0.99959,0.1271,0.12203,0.14747,0.17298,0.1752,0.1935,0.21442,0.32427,0.53102,0.70773,1.24683,1.48835,1.34121,1.29135,1.31163,1.39313,1.48797,1.6239,1.73303,1.78505,115.2,136.5,138.75665,161.9,-0.82773,-0.65727,-0.13065
6/24/2020,6.14521,5.12327,3.07854,-1.73787,-1.08672,-28.34509,-48.28134,0.27426,0.24812,0.25773,0.35927,0.49932,0.67228,0.92308,0.96216,0.1271,0.12711,0.14239,0.16789,0.17265,0.18667,0.20648,0.32845,0.51665,0.6831,1.2065,1.44496,1.25251,1.22367,1.25469,1.36401,1.45566,1.59323,1.69771,1.75159,110.5,131.7,135.07049,157.8,-0.77655,-0.6339,-0.13304
6/25/2020,6.64559,5.31289,3.73761,-2.0593,-0.94306,-28.78043,-48.47949,0.28322,0.24921,0.25693,0.36226,0.49704,0.66383,0.89776,0.9311,0.13473,0.14237,0.15256,0.17298,0.17774,0.18275,0.2038,0.32488,0.51763,0.67326,1.18556,1.41589,1.34003,1.29237,1.31208,1.3976,1.48209,1.61263,1.70918,1.75587,112.3,132.5,135.29829,157.6,-0.79812,-0.65174,-0.16011
6/26/2020,6.71462,5.81588,4.03004,-1.65848,-0.98482,-28.61714,-48.61956,0.2686,0.23423,0.24068,0.33677,0.46637,0.62658,0.85511,0.88555,0.13218,0.13728,0.14239,0.1628,0.16248,0.16708,0.18252,0.29647,0.48295,0.63643,1.14128,1.37175,1.31037,1.26246,1.28748,1.38064,1.46277,1.58738,1.6834,1.72701,112.3,131.5,133.83707,156,-0.82653,-0.67857,-0.18825
6/29/2020,6.63837,5.67475,3.74009,-2.0371,-2.00501,-29.7026,-49.6268,0.26176,0.22557,0.22858,0.31808,0.45121,0.61556,0.85839,0.89342,0.14235,0.14236,0.14238,0.1628,0.15739,0.15925,0.17188,0.2807,0.4716,0.63562,1.15542,1.38969,1.34247,1.29762,1.32166,1.40625,1.48199,1.59881,1.68897,1.72933,115.4,133.00033,133.54691,156.2,-0.8733,-0.6943833,-0.17231
6/30/2020,7.07077,5.45624,3.73365,-2.43171,-1.75826,-29.44179,-49.25298,0.26049,0.22411,0.22902,0.32436,0.46374,0.63442,0.88139,0.9175,0.13473,0.13474,0.14747,0.16534,0.15993,0.15341,0.17446,0.28703,0.48806,0.652,1.17581,1.41003,1.33744,1.30525,1.33474,1.4254,1.49891,1.61266,1.69747,1.73869,116.8,133.4,133.58474,156.1,-0.88097,-0.682,-0.15097
7/1/2020,6.80567,5.16582,3.28185,-2.63717,-1.98389,-28.67912,-48.99418,0.2645,0.23133,0.24195,0.34514,0.48843,0.66172,0.90728,0.94352,0.1271,0.1322,0.14747,0.15771,0.15739,0.16327,0.19029,0.31232,0.5148,0.68156,1.19407,1.43346,1.33601,1.32105,1.35444,1.44427,1.52163,1.64136,1.7261,1.76556,118.75,136,135.37435,158,-0.87518,-0.67844,-0.14654
7/2/2020,7.24018,5.23917,3.36701,-2.62072,-2.37904,-29.5521,-49.50146,0.26389,0.22601,0.23183,0.3303,0.47266,0.64632,0.89813,0.93685,0.1271,0.13219,0.14747,0.1577,0.15739,0.15361,0.17942,0.29662,0.49886,0.6701,1.19365,1.43186,1.36739,1.36062,1.39358,1.48566,1.56265,1.68146,1.75816,1.79276,122.6,139.5,137.6237,160.3,-0.92938,-0.7249,-0.17114
7/6/2020,6.16444,4.0745,2.87713,-3.06097,-2.74892,-29.83944,-49.62461,0.25276,0.22122,0.23078,0.33493,0.47966,0.65498,0.90733,0.94557,0.12201,0.13728,0.15256,0.16789,0.15484,0.15958,0.19001,0.30615,0.51026,0.68246,1.20572,1.44181,1.41624,1.42496,1.45735,1.55186,1.61807,1.72639,1.79458,1.82405,128.7,144.5,141.2655,163.4,-0.98085,-0.76254,-0.19219
7/7/2020,5.39479,3.62529,2.75348,-3.16751,-2.74824,-29.59909,-49.24937,0.24733,0.21753,0.22527,0.31947,0.45351,0.61882,0.8599,0.89598,0.12202,0.1322,0.14747,0.1628,0.15484,0.16358,0.189,0.29192,0.48518,0.6463,1.15589,1.38847,1.41746,1.41007,1.44138,1.52755,1.59213,1.69322,1.75426,1.77945,126.5,141.7,137.54817,159.2,-0.97308,-0.7707,-0.20353
7/8/2020,6.14109,4.07701,2.72505,-3.26787,-3.01261,-29.35654,-49.25454,0.24682,0.21513,0.22196,0.31762,0.45478,0.62193,0.86233,0.89855,0.12202,0.12202,0.14238,0.15771,0.1523,0.15372,0.18117,0.29036,0.48745,0.65205,1.15589,1.39109,1.43034,1.41029,1.43702,1.52106,1.58438,1.68393,1.7387,1.76607,125.4,140.3,135.4938,157.11391,-0.96364,-0.75095,-0.1800491
7/9/2020,6.35091,4.34872,3.19759,-2.36753,-2.02645,-27.86368,-47.63445,0.24782,0.21331,0.21681,0.30493,0.4296,0.58427,0.80425,0.83229,0.11693,0.11694,0.13221,0.15262,0.14976,0.1498,0.17332,0.27295,0.45328,0.60453,1.08289,1.30863,1.37251,1.36536,1.40534,1.49797,1.56216,1.66365,1.7205,1.74994,122.8,138,133.6191,154,-0.95505,-0.77547,-0.23137
7/10/2020,6.47014,4.58215,3.54114,-2.11052,-1.47921,-26.98923,-46.49255,0.24834,0.21858,0.2296,0.33221,0.46176,0.61758,0.83312,0.86007,0.12202,0.12202,0.13221,0.14752,0.14721,0.15388,0.18378,0.2968,0.48287,0.63237,1.10301,1.32499,1.42503,1.40038,1.42309,1.51154,1.57489,1.67044,1.72063,1.74691,125.2,139.2,133.85283,154.2,-0.9552,-0.75963,-0.21701
7/13/2020,6.57707,4.66924,3.4811,-1.95104,-1.75955,-26.56745,-46.25343,0.25363,0.2237,0.2331,0.33164,0.46335,0.62135,0.84436,0.8734,0.12202,0.12203,0.1373,0.14752,0.15484,0.15791,0.1864,0.29682,0.48286,0.63894,1.11003,1.33593,1.41996,1.40005,1.42535,1.53026,1.59737,1.69133,1.74251,1.76996,127.3,141.4,136.17988,156.5,-0.97618,-0.77506,-0.22907
7/14/2020,6.46903,4.60045,3.49635,-2.04261,-2.25184,-27.31345,-46.75066,0.24976,0.21867,0.22456,0.31592,0.43961,0.59017,0.8058,0.83252,0.1271,0.12203,0.1373,0.14752,0.15486,0.15396,0.17855,0.28095,0.46003,0.61269,1.07893,1.30003,1.45252,1.4273,1.44658,1.54918,1.60922,1.69315,1.74036,1.76548,128.8,140.8,135.67768,155.8,-1.00705,-0.79531,-0.25797
7/15/2020,7.0474,5.22806,3.87104,-1.72284,-2.002,-27.18854,-46.75072,0.25307,0.22449,0.23089,0.32287,0.45192,0.60907,0.83331,0.86264,0.1271,0.12711,0.13221,0.14243,0.14977,0.154,0.1786,0.28415,0.46914,0.62909,1.10519,1.33015,1.48375,1.43892,1.45604,1.54733,1.60794,1.67886,1.73226,1.76761,129.5,139.89879,135.98561,156.4,-1.01085,-0.7698979,-0.23385
7/16/2020,7.54153,5.74872,3.98891,-1.57794,-1.7556,-26.6279,-46.00201,0.24805,0.22145,0.22828,0.31453,0.43966,0.5935,0.81264,0.84066,0.11185,0.10677,0.11695,0.13225,0.14215,0.14603,0.17079,0.27463,0.45543,0.61105,1.07892,1.30068,1.47505,1.43568,1.47107,1.56933,1.63232,1.69305,1.74699,1.7777,131.3,140.6,136.93765,156.9,-1.03837,-0.79495,-0.26832
7/17/2020,7.53224,5.64956,3.99914,-1.47061,-1.50043,-26.12522,-45.50016,0.24761,0.22144,0.23004,0.32104,0.45211,0.61245,0.84305,0.87324,0.11185,0.11185,0.12204,0.13225,0.14214,0.14612,0.17354,0.28104,0.46681,0.62745,1.1043,1.32824,1.54249,1.48882,1.52391,1.61323,1.67381,1.7361,1.78024,1.81319,135.5,144.6,139.76222,160.2,-1.07396,-0.81855,-0.27376
7/20/2020,7.16131,5.20977,3.37308,-2.53137,-2.37597,-27.4205,-46.87535,0.24437,0.21977,0.22832,0.31797,0.44148,0.59548,0.81957,0.8489,0.11185,0.11185,0.11695,0.13225,0.14214,0.14816,0.17622,0.28424,0.46679,0.61924,1.09377,1.31765,1.54005,1.50005,1.53733,1.62856,1.68541,1.74261,1.78278,1.81743,137.1,145,140.19171,160.5,-1.08676,-0.83076,-0.28735
7/21/2020,6.99378,5.42019,3.74542,-2.22828,-2.00231,-26.6887,-46.62583,0.23884,0.21208,0.21994,0.30736,0.43078,0.58608,0.8155,0.84691,0.10168,0.10168,0.11695,0.13225,0.1396,0.14214,0.16574,0.26991,0.45306,0.6061,1.08239,1.31317,1.61495,1.53906,1.58276,1.66791,1.72125,1.77273,1.80531,1.83339,140.4,147.3,141.12318,161.6,-1.13409,-0.8669,-0.30283
7/22/2020,6.62832,4.99421,3.49005,-2.19463,-1.75502,-26.2526,-46.2518,0.24019,0.21249,0.21835,0.30323,0.42424,0.57707,0.80021,0.82702,0.10168,0.0966,0.11695,0.13226,0.13706,0.14621,0.16841,0.26833,0.44619,0.59462,1.06274,1.28954,1.64003,1.55747,1.59581,1.67977,1.72916,1.77727,1.80552,1.82881,141.5,147.5,140.6811,160.76907,-1.14667,-0.88038,-0.3181507
7/23/2020,5.97217,4.39041,3.51599,-1.73355,-1.11693,-24.15583,-43.62212,0.23117,0.20798,0.21498,0.30031,0.41968,0.57033,0.78686,0.81345,0.09659,0.0966,0.11187,0.12971,0.1396,0.14826,0.17108,0.26515,0.43702,0.5815,1.02842,1.24967,1.64999,1.55503,1.56745,1.63824,1.69269,1.74854,1.77657,1.79713,137.2,144.5,139.77629,158.1,-1.10685,-0.8635,-0.33133
7/24/2020,6.32164,4.97759,3.24615,-1.68276,-0.75194,-22.65101,-41.62569,0.2331,0.21158,0.21835,0.30562,0.42698,0.57968,0.79625,0.82178,0.10168,0.0966,0.10678,0.13226,0.1396,0.14836,0.16857,0.27316,0.44381,0.5872,1.02276,1.23804,1.67743,1.54132,1.55981,1.63215,1.68722,1.74441,1.78103,1.80628,135.7,150.2,141.7721,159.4,-1.08384,-0.9148,-0.35596
